# Datacard for <Channel (ggFpt500toInf) instance at 0x7fb7c4692ac0> generated on 2025-03-25 07:36:04.568064
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 11 # number of samples minus 1
kmax 141 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 162.000
bin                                                            ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets        diboson       ewkvjets           fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7
rate                                                                   5.672          2.280          0.740          0.393          0.154         36.760        106.668          4.143          1.067         17.564          9.515          0.404
BR_hww lnN                                                     0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -
CMS_HWW_boosted_EW_unc lnN                                                 -  0.8001/1.2517  0.8095/1.2407  0.8115/1.2388  0.8362/1.2089              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape              -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                     -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                    -              -              -              -              -              -              -              -              -              -              -         1.2500
CMS_HWW_boosted_ele_trigger_syst_unc lnN                              1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin0 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin1 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin2 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin3 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin4 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin5 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin6 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin7 shape                       1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_jmr_2016 lnN                                          1.0563         1.0550         1.0608         1.0561  1.0204/1.0522         1.0050         1.0000         1.0097  0.9795/1.0082         1.0033         0.9967              -
CMS_HWW_boosted_jmr_2016APV lnN                                       1.0563         1.0550         1.0620         1.0561  1.0122/1.0522  0.9939/1.0050  0.9885/1.0000         1.0116  0.9617/1.0082         1.0105         0.9967              -
CMS_HWW_boosted_jmr_2017 lnN                                          1.0576         1.0550         1.0629         1.0535  1.0132/1.0397         1.0079         1.0014         1.0602  0.9725/1.0082  0.9741/1.0033         0.9967              -
CMS_HWW_boosted_jmr_2018 lnN                                          1.0563  1.0361/1.0550         1.0529         1.0519         1.0522         1.0185         1.0021         1.0097  1.1740/1.2967         1.0033         0.9967              -
CMS_HWW_boosted_jms_2016 lnN                                          1.0563  1.0434/1.0550         1.0580         1.0561         1.0522         1.0050         0.9997         1.0097         1.0082         1.0033         0.9967              -
CMS_HWW_boosted_jms_2016APV lnN                                       1.0563  1.0434/1.0550         1.0580         1.0561         1.0522         1.0065         0.9998         1.0097         1.0082         1.0033         0.9967              -
CMS_HWW_boosted_jms_2017 lnN                                          1.0583         1.0542         1.0610         1.0538         1.0132         1.0012         0.9981         1.0602  0.9287/0.9547         1.0033         0.9967              -
CMS_HWW_boosted_jms_2018 lnN                                          1.0589         1.0455         1.0483         1.0481         1.0522         1.0195         1.0018         1.0097  1.2811/1.2967         1.0033         0.9967              -
CMS_HWW_boosted_miniisolation_SF_unc lnN                       0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200              -
CMS_HWW_boosted_mu_identification_stat_2016 lnN                       1.0380         1.0362         1.0365         1.0357         1.0304         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2016APV lnN                    1.0380         1.0362         1.0365         1.0357         1.0304         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2017 lnN                       1.0380         1.0362         1.0365         1.0357         1.0304         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2018 lnN                       1.0380         1.0362         1.0365         1.0357         1.0304         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_syst lnN                            1.0386         1.0368         1.0371         1.0363         1.0308         1.0007         1.0009         1.0004         1.0008         1.0012         1.0008              -
CMS_HWW_boosted_mu_isolation lnN                                      1.0378         1.0360         1.0363         1.0355         1.0302         1.0000         1.0000         1.0001              -         1.0001              -              -
CMS_HWW_boosted_mu_trigger lnN                                        1.0395         1.0374         1.0379         1.0371         1.0318         1.0011         1.0015         1.0011         1.0009         1.0018         1.0015              -
CMS_HWW_boosted_mu_trigger_iso lnN                                    1.0378         1.0360         1.0363         1.0355         1.0302         1.0000         1.0000         1.0001              -         1.0000              -              -
CMS_HWW_boosted_taggereff_ggF lnN                              0.7198/1.1002  0.7198/1.1002  0.7198/1.1002  0.7198/1.1002  0.7198/1.1002              -              -              -              -              -              -              -
CMS_l1_ecal_prefiring_2016 shape                                      1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_l1_ecal_prefiring_2016APV shape                                   1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_l1_ecal_prefiring_2017 shape                                      1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_pileup_2016 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_pileup_2016APV shape                                              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_pileup_2017 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_pileup_2018 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_pileup_id shape                                                   1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_res_j_2016 lnN                                                    1.0597         1.0550         1.0580         1.0561         1.0522         1.0060         1.0023         1.0097  0.9954/1.0082         1.0033         0.9967              -
CMS_res_j_2016APV lnN                                                 1.0626  1.0455/1.0601         1.0577         1.0565         1.0543         1.0067         1.0026         1.0097  0.9954/1.0082  0.9977/1.0131         0.9967              -
CMS_res_j_2017 lnN                                             1.0404/1.0673         1.0611         1.0644         1.0597  1.0406/1.0522         0.9980  0.9941/1.0055         1.0097  0.9143/0.9390         1.0033         0.9967              -
CMS_res_j_2018 lnN                                                    1.0606         1.0550  1.0542/1.0668  1.0480/1.0622  1.0015/1.0522         0.9995         1.0042         1.0097         1.0082         1.0033  0.9818/0.9967              -
