# Datacard for <Channel (TopCR) instance at 0x7fee17479700> generated on 2024-06-04 09:19:10.199014
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 97 # number of nuisance parameters
shapes * TopCR testModel.root testModel:TopCR_$PROCESS testModel:TopCR_$PROCESS_$SYSTEMATIC
bin TopCR
observation 5598.000
bin                                                  TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR
process                                                ggF            VBF             WH             ZH            ttH          ttbar          wjets      singletop          zjets           wzqq        diboson       ewkvjets           fake
process                                                 -4             -3             -2             -1              0              1              2              3              4              5              6              7              8
CMS_HWW_boosted_mu_trigger_iso_Run2 lnN             0.9977         0.9956         0.9776         0.9921         0.9748         0.9952         0.9919         0.9954         1.0023         1.0026         1.0100         0.9897              -
CMS_HWW_boosted_pileup_Run2 shape                   1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_lumi_13TeV_1718 lnN                             1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027
CMS_lumi_13TeV_2016 lnN                             1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026
CMS_lumi_13TeV_2017 lnN                             1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060
CMS_lumi_13TeV_2018 lnN                             1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065
CMS_lumi_13TeV_corelated lnN                        1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130
CMS_res_j_2016 lnN                                       -              -              -         1.0002         1.0001         1.0001         0.9999              -         1.0002              -         1.0000              -              -
CMS_res_j_2016APV lnN                               1.0000              -              -         1.0002         1.0002         1.0000         0.9999              -         0.9995              -         1.0000              -              -
CMS_res_j_2017 lnN                                  1.0023              -              -         0.9998         1.0000         1.0003         1.0003         1.0017         1.0021              -              -              -              -
CMS_res_j_2018 lnN                                       -              -         1.0029         1.0000         1.0003         0.9999         0.9998         1.0009         1.0005              -              -              -              -
CMS_scale_UES lnN                                   1.0023              -         1.0028         0.9994  0.9868/0.9995         1.0000         1.0001         1.0002         1.0082  1.0000/1.0217         1.0000         1.0000              -
CMS_scale_j_Abs lnN                                      -              -         1.0016         1.0006         1.0002         1.0005         1.0004         1.0000         1.0030              -         1.0000              -              -
CMS_scale_j_Abs_2016 lnN                                 -              -              -              -              -         1.0000         1.0000              -         1.0004              -              -              -              -
CMS_scale_j_Abs_2016APV lnN                              -              -              -              -         1.0001         1.0000         1.0000              -              -              -         1.0000              -              -
CMS_scale_j_Abs_2017 lnN                                 -              -              -         1.0000         0.9999         1.0001         1.0000         1.0016              -              -              -              -              -
CMS_scale_j_Abs_2018 lnN                                 -              -         1.0016         1.0003              -         1.0002         1.0001         1.0002         1.0005              -              -              -              -
CMS_scale_j_BBEC1 lnN                               1.0012              -         1.0016         0.9998         1.0006         1.0002         1.0003         1.0001         1.0005              -         1.0000              -              -
CMS_scale_j_BBEC1_2016 lnN                               -              -              -         1.0000              -         1.0001         1.0000              -         1.0005              -         1.0000              -              -
CMS_scale_j_BBEC1_2016APV lnN                            -              -              -              -         1.0002         1.0000         1.0000              -              -              -              -              -              -
CMS_scale_j_BBEC1_2017 lnN                               -              -              -         1.0000         0.9999         1.0001         0.9999         1.0000         1.0030              -              -              -              -
CMS_scale_j_BBEC1_2018 lnN                               -              -         1.0014         1.0003         1.0008         1.0000         1.0005         1.0015         1.0005              -              -              -              -
CMS_scale_j_EC2 lnN                                 1.0000              -              -         1.0004         1.0002         1.0001         1.0005         1.0008         1.0000              -              -              -              -
CMS_scale_j_EC2_2016 lnN                                 -              -              -              -         1.0001         1.0000         1.0000              -              -              -         1.0000              -              -
CMS_scale_j_EC2_2016APV lnN                              -              -              -              -         1.0001         1.0001              -              -              -              -              -              -              -
CMS_scale_j_EC2_2017 lnN                                 -              -              -         1.0000         1.0001         1.0002         0.9999         1.0010              -              -              -              -              -
CMS_scale_j_EC2_2018 lnN                                 -              -              -         1.0003         1.0004         1.0001         1.0001         1.0008              -              -              -              -              -
CMS_scale_j_FlavQCD lnN                                  -              -         1.0014         1.0000         1.0001         1.0001         1.0003         1.0007         1.0037              -         1.0000              -              -
CMS_scale_j_HF lnN                                       -              -         1.0016         1.0003         1.0001         1.0003         1.0002         1.0002         1.0032              -              -              -              -
CMS_scale_j_HF_2016 lnN                                  -              -              -              -              -         1.0000              -              -              -              -              -              -              -
CMS_scale_j_HF_2017 lnN                                  -              -              -              -              -         1.0000         1.0001         1.0000              -              -              -              -              -
CMS_scale_j_HF_2018 lnN                                  -              -         1.0016              -              -         1.0000              -              -         1.0005              -              -              -              -
CMS_scale_j_RelBal lnN                              1.0000              -         1.0016         0.9999         1.0003         1.0000         0.9992         1.0006         1.0010              -         1.0000              -              -
CMS_scale_j_RelSample_2016 lnN                           -              -              -         1.0001         1.0000         1.0002         0.9999         1.0000         1.0006              -         1.0000              -              -
CMS_scale_j_RelSample_2016APV lnN                        -              -              -              -         1.0001         1.0000         0.9999         1.0001              -              -              -              -              -
CMS_scale_j_RelSample_2017 lnN                           -              -              -         1.0000         0.9997         1.0000         1.0000         1.0024         1.0024              -              -              -              -
CMS_scale_j_RelSample_2018 lnN                      1.0000         1.0000         1.0016         1.0000         1.0006         0.9999         0.9992         0.9998         1.0005              -              -              -              -
PDFscale_acc shape                                  1.0000         1.0000         1.0000         1.0000              -              -              -              -              -              -              -              -              -
QCDscale_VH lnN                                          -              -  0.9930/1.0050  0.9700/1.0380              -              -              -              -              -              -              -              -              -
QCDscale_acc shape                                  1.0000         1.0000         1.0000         1.0000              -              -         1.0000              -              -              -              -              -              -
QCDscale_ggH lnN                                    1.0390              -              -              -              -              -              -              -              -              -              -              -              -
QCDscale_qqH lnN                                         -  0.9970/1.0040              -              -              -              -              -              -              -              -              -              -              -
QCDscale_ttH lnN                                         -              -              -              -  0.9080/1.0580              -              -              -              -              -              -              -              -
TopCR_VBF_mcstat lnN                                     -         1.3157              -              -              -              -              -              -              -              -              -              -              -
TopCR_WH_mcstat lnN                                      -              -         1.1058              -              -              -              -              -              -              -              -              -              -
TopCR_ZH_mcstat lnN                                      -              -              -         1.0456              -              -              -              -              -              -              -              -              -
TopCR_diboson_mcstat lnN                                 -              -              -              -              -              -              -              -              -              -         1.5166              -              -
TopCR_ewkvjets_mcstat lnN                                -              -              -              -              -              -              -              -              -              -              -         1.3229              -
TopCR_fake_mcstat lnN                                    -              -              -              -              -              -              -              -              -              -              -              -         1.4621
TopCR_ggF_mcstat lnN                                1.1331              -              -              -              -              -              -              -              -              -              -              -              -
TopCR_singletop_mcstat lnN                               -              -              -              -              -              -              -         1.0772              -              -              -              -              -
TopCR_ttH_mcstat lnN                                     -              -              -              -         1.0679              -              -              -              -              -              -              -              -
TopCR_ttbar_mcstat lnN                                   -              -              -              -              -         1.0169              -              -              -              -              -              -              -
TopCR_wjets_mcstat lnN                                   -              -              -              -              -              -         1.0524              -              -              -              -              -              -
