# Datacard for <Channel (VBF97) instance at 0x7f356d3b2af0> generated on 2024-02-19 08:00:26.305075
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 55 # number of nuisance parameters
shapes * VBF97 testModel.root testModel:VBF97_$PROCESS testModel:VBF97_$PROCESS_$SYSTEMATIC
bin VBF97
observation 74.000
bin                                                VBF97          VBF97          VBF97          VBF97          VBF97          VBF97  VBF97          VBF97          VBF97          VBF97          VBF97          VBF97          VBF97
process                                              ggF            VBF          ttbar          wjets      singletop          zjets    qcd        diboson           wzqq       ewkvjets            ttH             WH             ZH
process                                               -1              0              1              2              3              4      5              6              7              8              9             10             11
CMS_lumi_13TeV_2017 lnN                           1.0060         1.0060         1.0060         1.0060         1.0060         1.0060      -         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060
CMS_lumi_13TeV_2018 lnN                           1.0065         1.0065         1.0065         1.0065         1.0065         1.0065      -         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065
CMS_lumi_13TeV_corelated lnN                      1.0130         1.0130         1.0130         1.0130         1.0130         1.0130      -         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130
CMS_mu_trigger_iso_Run2_mu lnN                    0.9966         0.9952         0.9869         0.9921         0.9516         1.0016      -         0.9978         0.9867         0.9965         0.9603         0.9790         0.9885
CMS_reconstruction_ele lnN                        0.9993         1.0005         0.9835         0.9976         0.9928         1.0029      -         0.9944         1.0025         0.9929         0.9956         0.9865         0.9905
PSFSR_VBF shape                                        -         1.0000              -              -              -              -      -              -              -              -              -              -              -
PSFSR_ggF shape                                   1.0000              -              -              -              -              -      -              -              -              -              -              -              -
PSISR_VBF shape                                        -         1.0000              -              -              -              -      -              -              -              -              -              -              -
PSISR_ggF shape                                   1.0000              -              -              -              -              -      -              -              -              -              -              -              -
VBF97_mcstat_bin0 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin1 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin2 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin3 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin4 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin5 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin6 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin7 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
VBF97_mcstat_bin8 shape                           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000      -         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
