Combination of SR1=/uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/SR1VBF.txt  SR2=/uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/SR1ggFpt300to450.txt  SR3=/uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/SR1ggFpt450toInf.txt  SR4=/uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/SR2.txt  CR=/uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/WJetsCR.txt
imax 5 number of bins
jmax 7 number of processes minus 1
kmax 62 number of nuisance parameters
----------------------------------------------------------------------------------------------------------------------------------
shapes *    CR   /uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/testModel.root testModel:WJetsCR_$PROCESS testModel:WJetsCR_$PROCESS_$SYSTEMATIC
shapes *    SR1  /uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/testModel.root testModel:SR1VBF_$PROCESS testModel:SR1VBF_$PROCESS_$SYSTEMATIC
shapes *    SR2  /uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/testModel.root testModel:SR1ggFpt300to450_$PROCESS testModel:SR1ggFpt300to450_$PROCESS_$SYSTEMATIC
shapes *    SR3  /uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/testModel.root testModel:SR1ggFpt450toInf_$PROCESS testModel:SR1ggFpt450toInf_$PROCESS_$SYSTEMATIC
shapes *    SR4  /uscms/home/fmokhtar/nobackup/boostedhiggs/combine/templates/v22/datacards/testModel.root testModel:SR2_$PROCESS testModel:SR2_$PROCESS_$SYSTEMATIC
----------------------------------------------------------------------------------------------------------------------------------
bin          SR1            SR2            SR3            SR4            CR           
observation  21             252            71             559            41836        
----------------------------------------------------------------------------------------------------------------------------------
bin                                                    SR1                             SR1                             SR1                             SR1                             SR1                             SR1                             SR1                             SR1                             SR2                             SR2                             SR2                             SR2                             SR2                             SR2                             SR2                             SR2                             SR3                             SR3                             SR3                             SR3                             SR3                             SR3                             SR3                             SR3                             SR4                             SR4                             SR4                             SR4                             SR4                             SR4                             SR4                             SR4                             CR                              CR                              CR                              CR                              CR                              CR                              CR                              CR                            
process                                                ggF                             VBF                             VH                              ttH                             ttbar                           singletop                       zjets                           CMS_HWW_boosted_qcd_datadriven  ggF                             VBF                             VH                              ttH                             ttbar                           singletop                       zjets                           CMS_HWW_boosted_qcd_datadriven  ggF                             VBF                             VH                              ttH                             ttbar                           singletop                       zjets                           CMS_HWW_boosted_qcd_datadriven  ggF                             VBF                             VH                              ttH                             ttbar                           singletop                       zjets                           CMS_HWW_boosted_qcd_datadriven  ggF                             VBF                             VH                              ttH                             ttbar                           singletop                       zjets                           CMS_HWW_boosted_qcd_datadriven
process                                                -3                              -2                              -1                              0                               1                               2                               3                               4                               -3                              -2                              -1                              0                               1                               2                               3                               4                               -3                              -2                              -1                              0                               1                               2                               3                               4                               -3                              -2                              -1                              0                               1                               2                               3                               4                               -3                              -2                              -1                              0                               1                               2                               3                               4                             
rate                                                   1.002                           3.078                           0.079                           0.016                           3.936                           0.236                           0.167                           1                               13.678                          3.544                           3.54                            0.411                           73.568                          6.663                           7.085                           1                               3.258                           0.349                           0.988                           0.087                           9.49                            2.602                           2.621                           1                               11.543                          3.975                           3.247                           0.345                           68.785                          4.95                            19.023                          1                               81.09                           27.595                          23.162                          5.684                           4682.481                        389.967                         2920.968                        1                             
----------------------------------------------------------------------------------------------------------------------------------
BR_hww                  lnN                            0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   -                               0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   -                               0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   -                               0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   -                               0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   0.9848/1.0153                   -                             
CMS_id_Run2             lnN                            1.0033                          1.0029                          1.0037                          1.0029                          1.0026                          1.0004                          1.0048                          -                               1.0034                          1.0029                          1.0036                          1.0035                          1.0026                          1.0036                          1.0037                          -                               1.0047                          0.9938/1.0062                   1.005                           1.0039                          1.0029                          1.004                           1.0028                          -                               1.0039                          1.0038                          1.0041                          1.0036                          1.0031                          0.9948/1.0052                   1.0026                          -                               1.0043                          1.0048                          1.0045                          1.0039                          1.0044                          1.0042                          1.0038                          -                             
CMS_iso_Run2            lnN                            1.0003                          1.0009                          1.0005                          1.0007                          1.0006                          1.001                           1.0028                          -                               1.0006                          1.0007                          1.0007                          1.0009                          1.0014                          1.0006                          1.0027                          -                               1.0001                          -                               1.0001                          1.0001                          1.0005                          1.0                             1.0003                          -                               1.0005                          1.0007                          1.0005                          1.001                           1.0011                          1.0009                          1.0016                          -                               1.0004                          1.0004                          1.0005                          1.0008                          1.0007                          1.0008                          1.001                           -                             
CMS_lumi_13TeV_1718     lnN                            1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          -                               1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          -                               1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          -                               1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          -                               1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          1.0027                          -                             
CMS_lumi_13TeV_2016     lnN                            1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          -                               1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          -                               1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          -                               1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          -                               1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          1.0026                          -                             
CMS_lumi_13TeV_2017     lnN                            1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           -                               1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           -                               1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           -                               1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           -                               1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           1.006                           -                             
CMS_lumi_13TeV_2018     lnN                            1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          -                               1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          -                               1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          -                               1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          -                               1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          1.0065                          -                             
CMS_lumi_13TeV_corelated   lnN                         1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           -                               1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           -                               1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           -                               1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           -                               1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           1.013                           -                             
CMS_mu_trigger_iso_Run2_mu   lnN                       1.0                             1.0                             1.0                             -                               1.0                             1.0016                          -                               -                               1.0                             1.0001                          1.0                             1.0                             1.0001                          1.0002                          1.0                             -                               -                               -                               -                               -                               -                               -                               -                               -                               1.0                             1.0                             1.0                             1.0                             1.0001                          1.0                             1.0                             -                               -                               -                               -                               -                               -                               -                               -                               -                             
CMS_reconstruction_ele   lnN                           1.0021                          1.0019                          1.0021                          1.002                           1.0018                          -                               1.001                           -                               1.0025                          1.0022                          1.0026                          1.0031                          1.0025                          1.0021                          0.9944/1.0056                   -                               1.002                           1.0016                          1.0022                          1.0021                          1.0022                          1.0021                          1.0016                          -                               1.0023                          1.0031                          1.0024                          1.0034                          1.0027                          1.0028                          1.0033                          -                               1.0022                          1.0024                          1.0024                          1.0028                          1.0029                          1.0027                          1.0026                          -                             
SR1VBF_VBF_mcstat       lnN                            -                               1.3905                          -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                               -                             
