# Datacard for <Channel (VBF) instance at 0x7fcd387a5640> generated on 2024-10-14 10:09:28.085226
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 136 # number of nuisance parameters
shapes * VBF testModel.root testModel:VBF_$PROCESS testModel:VBF_$PROCESS_$SYSTEMATIC
bin VBF
observation 60.000
bin                                                                      VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF     VBF
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets           wzqq        diboson       ewkvjets    fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7       8
CMS_HWW_boosted_ele_reconstruction lnN                                1.0098         1.0088         1.0098         1.0091         1.0111         1.0064         1.0095         1.0031         1.0134  1.0112/1.0227         0.9991         1.0103       -
CMS_HWW_boosted_ele_trigger_stat_unc shape                            1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_HWW_boosted_ele_trigger_syst_unc lnN                              1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530       -
CMS_HWW_boosted_jmr_2016 lnN                                          1.0074         1.0065         1.0075         1.0065  1.0091/1.0310         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jmr_2016APV lnN                                       1.0074         1.0065         1.0075         1.0065  1.0091/1.0310  0.9940/1.0042         1.0073         1.0024  0.9318/1.0091         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jmr_2017 lnN                                          1.0074         1.0077         1.0075         1.0115  0.9760/1.0091  0.9986/1.0124  1.0084/1.0242         1.0024  1.0026/1.0161         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jmr_2018 lnN                                          1.0074         1.0065         1.0075         1.0004         1.0091  0.9938/1.0104         1.0080         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jms_2016 lnN                                          1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jms_2016APV lnN                                       1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jms_2017 lnN                                          1.0074         1.0066         1.0075         1.0065         0.9760         1.0052         1.0247         1.0024         1.0166         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_jms_2018 lnN                                          1.0074         1.0065         1.0003         0.9998         1.0091         1.0068         1.0080         1.0024         1.0099         1.0170         0.9990         1.0086       -
CMS_HWW_boosted_miniisolation_SF_unc lnN                       0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200       -
CMS_HWW_boosted_mu_identification_stat lnN                            1.0002         1.0002         1.0002         1.0002         1.0001         1.0002         1.0002         1.0001         1.0001         1.0001         1.0002         1.0002       -
CMS_HWW_boosted_mu_identification_syst lnN                            1.0006         1.0008         1.0009         1.0006         1.0006         1.0007         1.0011         1.0003         1.0007         1.0003         1.0009         1.0007       -
CMS_HWW_boosted_mu_isolation lnN                                      1.0000         1.0000         1.0000         1.0000              -         1.0000         1.0000         1.0002              -              -         1.0000              -       -
CMS_HWW_boosted_mu_trigger lnN                                        1.0011         1.0011         1.0014         1.0013         1.0011         1.0007         1.0013         1.0004         1.0006         1.0008         1.0004         1.0013       -
CMS_HWW_boosted_mu_trigger_iso lnN                                    1.0000         1.0000         1.0000         1.0000              -         1.0001         1.0000         1.0004              -              -         1.0001              -       -
