# Datacard for <Channel (ggFpt500toInf) instance at 0x7f337b074ee0> generated on 2025-02-17 10:11:30.484496
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 13 # number of samples minus 1
kmax 158 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 162.000
bin                                                                   ggFpt500toInf    ggFpt500toInf    ggFpt500toInf    ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                        qqH_hww_mjj_1000_Inf  ggH_hww_200_300  ggH_hww_300_450  ggH_hww_450_Inf         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets        diboson       ewkvjets           fake
process                                                                          -6               -5               -4               -3             -2             -1              0              1              2              3              4              5              6              7
rate                                                                          0.759            0.000            0.443            5.210          0.762          0.425          0.151         36.699        116.316          4.174          1.063         17.559          9.434          0.118
BR_hww lnN                                                            0.9848/1.0153                -    0.9848/1.0153    0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -
CMS_HWW_boosted_EW_unc lnN                                                        -                -                -                -  0.8094/1.2408  0.8116/1.2387  0.8363/1.2086              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape                     -                -                -                -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                            -                -                -                -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                           -                -                -                -              -              -              -              -              -              -              -              -              -         1.2500
CMS_HWW_boosted_ele_reconstruction_2017 lnN                                  1.0054                -           1.0204           1.0245         1.0270         1.0264         1.0351         1.0090         1.0092         1.0041         1.0164         1.0044         1.0069              -
CMS_HWW_boosted_ele_reconstruction_2018 lnN                                  1.0054                -           1.0204           1.0245         1.0270         1.0264         1.0351         1.0090         1.0092         1.0041         1.0164         1.0044         1.0069              -
CMS_HWW_boosted_ele_trigger_stat_unc_2016 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ele_trigger_stat_unc_2016APV shape                           1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ele_trigger_stat_unc_2017 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ele_trigger_stat_unc_2018 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ele_trigger_syst_unc lnN                                     1.0530                -           1.0530           1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530         1.0530              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin0 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin1 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin2 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin3 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin4 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin5 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin6 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_ggFpt500toInf_mcstat_bin7 shape                              1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_HWW_boosted_jmr_2016 lnN                                                 1.0033                -           1.0593           1.0601         1.0640         1.0597  1.0307/1.0628         1.0067         1.0068         1.0023  0.9717/1.0118         1.0036         1.0052              -
CMS_HWW_boosted_jmr_2016APV lnN                                              1.0033                -           1.0593           1.0601         1.0652         1.0597  1.0224/1.0628  0.9955/1.0067         1.0068         1.0023  0.9652/1.0118         1.0108         1.0052              -
CMS_HWW_boosted_jmr_2017 lnN                                          1.0033/1.0190                -           1.0593           1.0615         1.0660         1.0571  1.0234/1.0502         1.0096         1.0092         1.0525  0.7510/1.0119  0.9744/1.0036         1.0052              -
CMS_HWW_boosted_jmr_2018 lnN                                                 1.0033                -    1.0332/1.0593           1.0607         1.0560         1.0554         1.0628         1.0202         1.0070         1.0023  1.1782/1.3014         1.0036         1.0052              -
CMS_HWW_boosted_jms_2016 lnN                                                 1.0033                -           1.0593           1.0601         1.0611         1.0597         1.0628         1.0067         1.0089         1.0023         1.0118         1.0036         1.0052              -
CMS_HWW_boosted_jms_2016APV lnN                                              1.0033                -           1.0593           1.0601         1.0611         1.0597         1.0628         1.0082         1.0083         1.0023         1.0118         1.0036         1.0052              -
CMS_HWW_boosted_jms_2017 lnN                                                 1.0190                -           1.0593           1.0622         1.0642         1.0574         1.0234         1.0028         1.0070         1.0525         0.8914         1.0036         1.0052              -
CMS_HWW_boosted_jms_2018 lnN                                                 1.0033                -           1.0593           1.0629         1.0514         1.0517         1.0628         1.0211         1.0051         1.0023  1.2858/1.3014         1.0036         1.0052              -
CMS_HWW_boosted_miniisolation_SF_unc lnN                              0.9800/1.0200                -    0.9800/1.0200    0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200              -
CMS_HWW_boosted_mu_identification_stat_2016 lnN                              1.0002                -           1.0408           1.0379         1.0366         1.0358         1.0307         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2016APV lnN                           1.0002                -           1.0408           1.0379         1.0366         1.0358         1.0307         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2017 lnN                              1.0002                -           1.0408           1.0379         1.0366         1.0358         1.0307         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_stat_2018 lnN                              1.0002                -           1.0408           1.0379         1.0366         1.0358         1.0307         1.0002         1.0002         1.0001         1.0001         1.0002         1.0002              -
CMS_HWW_boosted_mu_identification_syst lnN                                   1.0008                -           1.0416           1.0385         1.0373         1.0364         1.0311         1.0007         1.0008         1.0004         1.0008         1.0012         1.0008              -
CMS_HWW_boosted_mu_isolation lnN                                                  -                -           1.0406           1.0377         1.0365         1.0357         1.0305         1.0000         1.0000         1.0001              -         1.0001              -              -
CMS_HWW_boosted_mu_trigger lnN                                               1.0011                -           1.0426           1.0394         1.0380         1.0372         1.0322         1.0011         1.0014         1.0011         1.0009         1.0018         1.0015              -
CMS_HWW_boosted_mu_trigger_iso lnN                                                -                -           1.0406           1.0377         1.0364         1.0357         1.0305         1.0000         1.0000         1.0001              -         1.0000              -              -
CMS_HWW_boosted_taggereff_ggF lnN                                     0.7198/1.1002                -    0.7198/1.1002    0.7198/1.1002  0.7198/1.1002  0.7198/1.1002  0.7198/1.1002              -              -              -              -              -              -              -
CMS_l1_ecal_prefiring_2016 shape                                             1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
CMS_l1_ecal_prefiring_2016APV shape                                          1.0000                -           1.0000           1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000              -
